x,y,z,a
-2.54,-6.35,-1.5,7.001721216958013
-2.7,-8.98,-2.32,9.65985507137659
-3.03,-12.67,-3.51,13.491845685450157
-3.11,-17.17,-4.92,18.12973800141635
-2.28,-19.61,-6.39,20.75048433169693
-0.67,-19.61,-7.6,21.0418867975284
0.84,-19.61,-8.26,21.29519429354896
3.08,-19.6,-8.46,21.56891281451154
6.0,-19.6,-8.35,22.133289407586936
8.69,-19.61,-8.38,23.028082855504927
10.29,-19.61,-7.94,23.5261514064668
10.42,-18.96,-6.73,22.657248288351347
9.18,-16.32,-5.39,19.48504298173345
7.34,-13.55,-4.41,16.028917617855548
5.76,-11.92,-3.73,13.754159370895774
4.78,-11.15,-3.36,12.58810946885989
4.24,-10.42,-3.13,11.67693881117821
3.85,-9.15,-3.05,10.384965093826748
3.5,-7.35,-2.99,8.672519818368823
3.14,-5.44,-2.65,6.817308853205934
2.78,-3.52,-2.06,4.935828197982584
2.46,-1.53,-1.52,3.2715286946624813
2.31,0.17,-1.33,2.670936165467082
2.6,1.18,-1.55,3.2488305588319006
3.45,1.52,-1.79,4.173367944478416
4.44,1.56,-1.63,4.980371472089206
4.91,1.68,-0.99,5.28304836245136
4.51,2.02,-0.07,4.942205985185158
3.4,2.53,0.56,4.274868419027655
2.22,2.94,0.77,3.763628568283538
1.62,3.11,0.97,3.63832378987907
1.91,3.03,1.3,3.8103805584219534
2.64,2.77,1.35,4.057708713054697
3.31,2.37,0.79,4.146938629881084
3.9,1.77,-0.22,4.288507899025021
4.78,0.47,-1.79,5.125758480459258
6.17,-2.42,-4.1,7.793285571567361
8.07,-8.18,-6.62,13.261285759684087
10.57,-16.05,-8.36,20.957504622449687
13.25,-19.61,-9.79,25.61169068999546
14.43,-19.61,-10.91,26.67967578513652
14.87,-19.61,-11.48,27.156203711122803
15.9,-19.59,-12.23,28.038384404241267
16.33,-19.6,-12.73,28.511082055930466
13.99,-19.61,-12.79,27.27372911796258
9.13,-19.61,-12.34,24.90350577729971
4.07,-19.19,-11.21,22.59391732303188
0.69,-15.93,-9.72,18.674030095295446
-1.3,-11.33,-8.04,13.953512102693
-2.48,-7.99,-6.69,10.71198394322919
-3.03,-6.62,-5.95,9.402542209424002
-3.08,-6.25,-5.7,9.002160851706662
-2.72,-5.78,-5.27,8.281286131996648
-2.3,-4.79,-4.5,6.963052491544207
-2.24,-3.53,-3.74,5.609465215151976
-2.69,-2.45,-3.12,4.793015752112651
-3.41,-1.66,-2.81,4.720148302754904
-4.09,-0.94,-2.54,4.905435760460023
-4.78,-0.07,-1.78,5.10114692985803
-5.56,0.96,-0.53,5.667106845648845
-6.35,1.93,0.75,6.679064305724268
-7.13,2.61,1.72,7.785075465273281
-7.76,2.86,2.3,8.584124882595779
-7.95,2.52,2.37,8.670051902958829
-7.65,1.83,2.07,8.133652316149247
-7.02,1.12,1.63,7.293264015514589
-6.29,0.55,1.11,6.41082677975314
-5.55,0.16,0.67,5.592584375760459
-5.13,-0.1,0.17,5.133790022975229
-4.92,-0.56,-0.43,4.970402398196749
-4.54,-1.39,-1.05,4.862735855462437
-3.87,-2.86,-1.52,5.046474016578308
-3.29,-5.39,-1.83,6.574579834483721
-3.21,-9.18,-2.22,9.975214283412662
-3.76,-14.3,-2.97,15.08139582399454
-4.73,-18.8,-3.73,19.741474109093275
-4.96,-19.61,-5.08,20.855697063392537
-3.53,-19.61,-6.94,21.09920851596097
0.37,-19.61,-7.87,21.13352549860056
6.19,-19.6,-7.88,22.0129620905502
10.82,-19.61,-8.01,23.78622710729888
13.05,-19.61,-8.26,24.96161453111557
13.05,-19.61,-7.46,24.708423664815204
10.55,-19.0,-5.99,22.54290575768794
6.81,-16.67,-4.82,18.641282144745304
3.82,-14.52,-4.13,15.57175969503768
2.23,-13.17,-3.95,13.92926056903237
1.63,-12.06,-4.08,12.835376893570364
1.35,-10.75,-4.21,11.623644006936896
1.03,-9.14,-4.18,10.103113381527498
0.67,-7.23,-3.79,8.190598268746918
0.51,-4.95,-2.9,5.75956595586855
0.72,-2.25,-1.65,2.8815620763745486
1.21,0.59,-0.17,1.356871401423141
1.79,3.02,1.23,3.71986558896958
2.3,4.75,2.33,5.769003380134215
2.56,5.68,2.94,6.88909282852249
2.48,5.81,3.0,6.993318239576975
2.03,5.39,2.85,6.426157483286571
1.36,4.77,2.47,5.541064879605724
0.39,3.78,1.01,3.9319969481168218
0.36,3.46,0.35,3.49624083838628
0.63,3.17,-0.19,3.2375762539282373
1.19,2.75,-0.61,3.057891430381399
1.8,2.26,-1.06,3.0775314783117977
2.16,1.31,-1.97,3.203529303752348
2.49,-1.09,-3.78,4.655813570150764
3.24,-6.05,-6.16,9.222022554732774
4.6,-13.85,-8.8,17.04178687814162
6.45,-19.28,-10.7,22.974135457074333
7.56,-19.61,-12.52,24.46336240176317
7.98,-19.61,-13.11,24.901899525939783
9.22,-19.6,-12.83,25.17493396217754
11.37,-19.59,-12.43,25.836987053447235
12.73,-19.61,-11.91,26.23838981340128
10.78,-19.61,-10.83,24.86059934917097
5.72,-19.48,-9.75,22.522240119490775
0.56,-17.58,-9.33,19.910271218644912
-2.76,-14.53,-9.08,17.35467948421981
-4.08,-12.17,-8.64,15.472714693937842
-4.13,-10.85,-8.08,14.144461813727665
-3.76,-9.87,-7.42,12.907784472944998
-3.4,-8.52,-6.54,11.265966447668838
-3.06,-6.82,-5.57,9.32206522182719
-2.78,-5.13,-4.69,7.48608041634606
-2.69,-3.7,-3.94,6.03735869399856
-2.87,-2.46,-3.51,5.158352450153052
-3.14,-1.3,-3.23,4.688549882426336
-3.46,0.0,-2.54,4.292225529955294
-3.86,1.49,-1.52,4.4079587112403855
-4.2,2.86,-0.39,5.096243714737356
-4.35,3.64,0.68,5.712661376276385
-4.43,3.7,1.5,5.963631444011274
-4.59,3.23,1.83,5.903380387540684
-4.79,2.77,1.67,5.77978373297825
-4.82,2.57,1.51,5.667221541461036
-4.61,2.58,1.55,5.50554266171828
-4.38,2.7,1.78,5.44452018087912
-4.4,2.83,2.09,5.633560153224602
-4.47,2.7,2.29,5.702192560761167
-4.58,2.23,2.36,5.614169573498828
-4.85,1.47,2.23,5.536813162822094
-5.29,0.36,1.66,5.556014758799693
-5.56,-1.69,0.94,5.886705360386232
-5.75,-5.3,0.21,7.822825576478105
-6.35,-11.03,-1.04,12.769690677537964
-7.54,-17.63,-3.25,19.44816186687061
-8.53,-19.61,-6.1,22.23787309973685
-7.73,-19.61,-8.83,22.85331267015791
-4.73,-19.61,-9.72,22.39203876381068
0.12,-19.59,-9.07,21.588130998305527
4.13,-19.6,-8.66,21.82229364663577
6.79,-19.61,-8.14,22.291608286527914
8.31,-19.61,-6.35,22.22455173901152
7.97,-19.32,-4.13,21.303525529827212
5.54,-16.36,-3.1,17.548538400675994
2.37,-12.45,-3.28,13.091134404626663
-0.1,-9.98,-3.75,10.66174938741293
-1.25,-8.64,-3.9,9.56149046958684
-1.54,-7.22,-3.7,8.257723657279891
-1.56,-5.28,-3.34,6.43953414464121
-1.36,-3.28,-2.87,4.565621534906282
-0.77,-1.56,-2.42,2.980419433569712
0.13,0.04,-2.14,2.144318073421012
1.25,1.65,-1.87,2.789605706905548
2.52,3.07,-1.25,4.163868393693537
3.7,4.29,-0.24,5.670246908204263
4.51,5.28,0.92,7.004634180312346
4.71,5.94,1.87,7.807983094243994
4.24,6.17,2.45,7.877118762593338
3.32,5.92,2.55,7.250606871152234
2.48,5.18,2.23,6.160819750650071
2.21,3.99,1.74,4.881782461355688
2.5,2.75,1.39,3.967946572220952
3.01,1.86,1.16,3.723613836046912
3.4,1.44,0.94,3.810144354220716
3.56,1.38,0.57,3.860427437473731
3.49,1.31,0.0,3.727760721934819
3.38,0.48,-0.79,3.504126139282089
3.67,-1.89,-1.9,4.544337135380693
4.71,-5.93,-3.32,8.268700018745388
6.14,-11.46,-5.13,13.976698465660624
7.54,-17.59,-7.43,20.529603016132583
8.45,-19.61,-10.7,23.883982080046867
7.99,-19.61,-13.07,24.884073219631876
7.7,-19.61,-13.57,25.059668792703548
9.41,-19.59,-14.04,25.87349609156057
12.21,-19.6,-13.44,26.718489852534702
13.11,-19.61,-11.75,26.35311556533686
10.22,-19.61,-10.4,24.43686763887712
5.25,-19.11,-9.85,22.130908250679635
0.7,-16.28,-9.8,19.01495201150926
-2.68,-12.71,-9.6,16.15198130261424
-5.12,-9.82,-8.92,14.22016877536972
-6.55,-7.77,-8.05,12.96448610628281
-6.95,-6.38,-6.95,11.717909369849217
-6.85,-5.07,-6.01,10.428206940792842
-6.53,-3.65,-5.42,9.237954319003748
-6.14,-2.35,-5.29,8.438376621128024
-5.65,-1.46,-5.07,7.730394556554019
-5.36,-0.76,-4.49,7.033299368006456
-5.42,0.1,-3.58,6.496368216165091
-5.77,1.09,-2.55,6.401835674242193
-6.27,1.88,-1.72,6.7679908392372985
-6.63,2.26,-0.97,7.071449639218256
-6.62,2.22,-0.21,6.985477793250796
-6.24,2.0,0.48,6.570235916616694
-5.65,1.88,1.0,6.037954951802805
-5.04,1.91,1.24,5.530578631571927
-4.63,2.0,1.24,5.193698104433873
-4.55,2.04,1.07,5.099901959841973
-4.61,1.93,0.67,5.042410138019319
-4.55,1.54,0.19,4.807306938401167
-4.17,0.74,-0.41,4.254950058461321
-3.57,-0.69,-1.04,3.78187784043853
-3.0,-2.94,-1.85,4.589782129905514
-2.84,-5.86,-2.53,6.986136271216015
-3.35,-9.46,-2.75,10.405604259244152
-4.61,-14.74,-3.19,15.77009194646626
-6.37,-19.09,-4.36,20.591614798261936
-7.42,-19.61,-6.52,21.95720610642438
-6.21,-19.61,-9.57,22.68702492615548
-1.81,-19.61,-11.34,22.72495984594912
3.85,-19.6,-10.99,22.79830256839311
