x,y,z,a
7.12,-13.71,-1.25,15.499064487897328
8.92,-10.86,-1.12,14.09824102503571
10.15,-8.18,-0.85,13.063590624326835
10.74,-5.8,-0.59,12.220298687020705
10.64,-4.03,-0.66,11.396758311028623
9.95,-2.94,-1.04,10.427257549327146
9.0,-2.3,-1.47,9.404833863498068
8.29,-1.75,-1.81,8.663873267771177
8.01,-0.92,-1.91,8.285807142336829
8.25,0.08,-1.76,8.436023944963646
8.93,1.21,-1.34,9.110686033444464
9.94,2.31,-0.69,10.228186545033289
11.1,3.18,-0.06,11.54668783677813
12.07,3.61,0.39,12.604328621549026
12.52,3.65,0.69,13.059441029385598
12.22,3.48,0.75,12.727973130078489
11.34,3.08,0.44,11.759064588648195
10.51,2.45,-0.22,10.79402612559373
10.06,1.56,-0.91,10.220826776733867
9.8,-0.0,-0.8,9.832598842625483
9.98,-2.67,-0.75,10.35817551502194
11.03,-7.38,-1.29,13.333769159543747
13.2,-15.2,-1.27,20.171586452235232
14.58,-19.61,-0.59,24.4433344697486
12.85,-19.61,-0.87,23.461276606357124
8.82,-19.61,-1.49,21.55376069274223
6.23,-19.6,-1.51,20.62166336646974
6.07,-19.6,-1.79,20.59633462536478
6.98,-19.61,-0.93,20.8359641005642
7.04,-19.61,1.16,20.867661584375
4.72,-19.61,2.87,20.373202988239232
0.7,-19.61,3.53,19.93747727271432
-3.42,-19.61,2.77,20.09779589905321
-6.84,-19.61,0.78,20.78331301789972
-8.75,-19.61,-0.65,21.48341453307644
-8.32,-19.61,-0.71,21.31381242293363
-6.08,-19.44,-0.13,20.369018140303183
-3.88,-17.47,0.66,17.907844649761735
-2.84,-14.16,1.41,14.510661597597815
-3.05,-10.96,1.94,11.54069755257454
-4.04,-8.38,2.47,9.62532596850621
-5.2,-6.42,2.95,8.772622184957015
-6.27,-5.11,3.35,8.754855795500003
-7.35,-4.56,3.68,9.399920212427338
-8.32,-4.5,4.1,10.309335575098912
-8.92,-4.44,4.84,11.077255977903553
-9.05,-3.79,5.7,11.34709654493166
-8.96,-2.34,6.15,11.116640679629796
-8.92,-0.69,6.24,10.907799961495444
-9.3,0.18,6.29,11.228824515504728
-10.06,-0.42,6.46,11.962926063467918
-10.68,-1.85,6.1,12.437640451468276
-10.86,-2.91,5.46,12.498771939674713
-10.49,-2.98,5.16,12.06424883695624
-9.65,-2.26,5.15,11.169270343222964
-8.84,-1.62,5.32,10.443773264486357
-8.44,-1.91,5.32,10.157957471854273
-8.5,-3.7,4.64,10.366754554825729
-8.87,-7.26,3.34,11.939015872340567
-9.21,-12.38,2.07,15.568346090705976
-8.82,-17.67,1.05,19.776850103087703
-7.23,-19.61,-0.55,20.90759431402857
-5.14,-19.61,-1.43,20.322809845097694
-4.01,-19.61,-0.06,20.015888688739253
-3.81,-19.6,1.05,19.99446423388234
-3.43,-19.6,0.95,19.920527101459943
-2.75,-19.61,1.02,19.82813657407069
-2.52,-19.61,1.35,19.817290430328764
-2.69,-19.61,1.22,19.83120268667536
-2.6,-19.61,0.68,19.793294319036438
-1.82,-19.61,0.0,19.694275818115276
-0.46,-19.61,-0.63,19.62550891059898
1.49,-19.61,-0.83,19.68403159924308
3.83,-19.61,-0.24,19.98195686112849
6.12,-19.61,0.72,20.55541047996853
10.46,-15.39,1.45,18.66457071566341
12.06,-11.94,1.22,17.01457022672039
12.82,-9.27,0.6,15.831781327443858
12.57,-7.18,-0.22,14.477765711600668
11.65,-5.29,-0.67,12.81231829139442
10.51,-3.63,-0.5,11.13045371941324
9.42,-2.35,-0.21,9.710973174713232
8.5,-1.54,-0.09,8.638848302870008
7.79,-1.11,-0.13,7.869758573171098
7.25,-0.85,-0.57,7.321878174348437
6.72,-0.71,-1.55,6.932892614197915
6.2,-0.68,-2.63,6.768995494163074
6.08,-0.62,-3.05,6.830322100750447
6.71,-0.27,-2.32,7.104885642992432
8.08,0.4,-1.12,8.167055773043307
9.52,1.11,-0.46,9.595524998664745
10.43,1.6,-0.52,10.564814243516068
